#separator:tab
#html:false
Father, Dad	אבא	aba
Love	אהבה	ahavah
Water	מים	mayim
Wine	יין	yayin
Dove	יונה	yonah
Milk	חלב	khalav
Bread	לחם	lekhem
Mother, Mom	אמא	ima
Hot (m.s)	חם	khum
No, Not	לא	lo
I	אני	ani
He	הוא	hu
She	היא	hi
You (m.s)	אתה	atah
You (f.s)	את	at
Is It?	האם	haim
Or	או	o
Come, Comes (m.s - pres.) (Qal)	בא	ba
Come, Comes (f.s - pres.) (Qal)	באה	ba'ah
Love(s) (m.s - pres.) (Qal)	אוהב	ohev
Love(s) (f.s - pres.) (Qal)	אוהבת	ohevet
Dog	כלב	kelev
King	מלך	melekh
Boy	ילד	yeled
Nut	אגוז	egoz
Rice	אורז	orez
Man	גבר	gever
Road, Way	דרך	derekh
Girl	ילדה	yal'dah
Woman	אישה	ishah
Truck	משאית	masaiyt
Happy	שמח	sameakh
Yes	כן	ken
This (m)	זה	zeh
This (f)	זאת	zot
Walks, Goes (m.s - pres.) (Qal)	הולך	holekh
Walks, Goes (f.s - pres.) (Qal)	הולכת	holekhet
Eats (m.s - pres.) (Qal)	אוכל	okhel
Eats (f.s - pres.) (Qal)	אוכלת	okhelet
Sees (m.s - pres.) (Qal)	רואה	ro'eh
Sees (f.s - pres.) (Qal)	רואה	ro'ah
Drinks (m.s - pres.) (Qal)	שותה	shoteh
Drinks (f.s - pres.) (Qal)	שותה	shotah
Orange (Fruit)	תפוז	tapuz
Apple	תפוח	tapuakh
Fun	כיף	keif
Book	ספר	sefer
Peach	אפרסק	afarsek
Newspaper	עיתון	iton
Chicken (Food)	עוף	of
Juice	מיץ	mitz
Cake	עוגה	ugah
Beautiful (m.s)	יפה	yafeh
Sweet (m.s)	מתוק	matok
Beautiful (f.s)	יפה	Y'fah
Sad (m.s)	עצוב	atzuv
Bad (m.s)	רע	ra
Sour (m.s)	חמוץ	khamutz
Good (m.s)	טוב	tov
Tasty (m.s)	טעים	ta'im
Reads (m.s - pres.) (Qal)	קורא	kore
Reads (f.s - pres.) (Qal)	קוראת	koret
Wants (m.s - pres.) (Qal)	רוצה	rotzeh
Wants (f.s - pres.) (Qal)	רוצה	rotzah
Hello	שלום	shalom
Night	לילה	lai'lah
Morning	בוקר	boker
Evening	ערב	erev
Thanks	תודה	todah
Good luck	בהצלחה	b'hatzlakhah
Thankyou	תודה	todah
Thankyou Very Much	תודה רבה	todah rabah
Hebrew	עברית	ivrit
English	אנגלית	ang'lit
Goodbye	להתראות	l'hit'raot
How Are You?	מה נשמע?	mah nishma
What's Happening?, What's Up?	מה קורה?	mah koreh
How Are You? (m)	מה שלומך?	mah shlomekh
How Are You? (f)	מה שלומך?	mah shlomkha
Fine	בסדר	beseder
Sorry	סליחה	s'likhah
Please	בבקשה	b'vakashah
You Are Welcome	אין בעד מה	ein b'ad mah
Maybe, Perhaps	אולי	ulai
Welcome (m)	ברוך הבא	barukh haba
Welcome (f)	ברוך הבאה	barukh haba'ah
My Name Is	קוראים לי	korim li
Congratulations	מזל טוב	mazal tov
Bon Appetit	בתיאבון	b'te'avon
Have Fun! (2.m.s - fut.) (Nifal)	תהנו	tehanu
Have Fun! (2.f.s - fut.) (Nifal)	תהני	tehani
To Enjoy (Nifal)	להנות	lehanot
Men	גברים	g'varim
Children	ילדים	y'ladim
Women	נשים	nashim
We	אנחנו	anakhnu
They (m)	הם	hem
They (f)	הן	hen
You (m.p)	אתם	atem
You (f.p)	אתן	aten
See (m.p - pres.) (Qal)	רואים	ro'im
See (f.p - pres.) (Qal)	רואות	ro'ot
There Is	יש	yesh
There Is No	אין	ein
