Skill,Word
Letters 1,האם
Questions,למה
Direct Object,אותךָ
Letters 1,את
Letters 1,אני
Letters 1,היא
Letters 2,ילדה
Letters 1,לא
Letters 1,או
Letters 1,הוא
Letters 2,זאת
Letters 3,קורא
Numbers 1,הרבה
Prepositions 1,איתה
Numbers 1,יותר
Possessives 1,של
Letters 2,כלב
Numbers 1,מדי
Letters 1,חלב
Questions,מי
Letters 2,שותֶה
Letters 1,אתה
Letters 2,הולך
Letters 2,אוכל
Letters 2,זה
Possessives 1,שלהם
Common Phrases,שלום
Conjunctions,אלא
Letters 1,אמא
Letters 1,באה
Letters 1,אבא
Letters 3,רוצָה
Letters 2,הכלב
Possessives 1,שלי
Determiners,הזאת
Food 1,ארוחת צהריים
Determiners,הזה
Direct Object,אותי
Letters 1,אוהב
Letters 3,רוצֶה
Questions,איפה
Common Phrases,להתראות
Determiners,שומעים
Letters 2,רואָה
Determiners,אוכלים
There is/To Have,לנו
Determiners,מדברים
Prepositions 1,עם
Food 1,ארוחת בוקר
Determiners,אלו
Letters 1,אוהבת
Determiners,כזה
Common Phrases,אנגלית
Letters 2,רואֶה
There is/To Have,לי
Questions,איך
Possessives 1,שלה
Letters 1,בא
Questions,למי
There is/To Have,להם
Possessives 1,שלו
Possessives 1,שלךָ
Questions,של מי
Questions,ממי
Questions,את מי
Questions,עם מי
Letters 3,עיתון
Prepositions 1,נגדנו
There is/To Have,לו
Common Phrases,בבקשה
Letters 2,הגבר
Direct Object,אתכן
There is/To Have,לךָ
There is/To Have,לכן
Letters 2,ילד
Common Phrases,תודה
Numbers 1,פחות
There is/To Have,לה
Common Phrases,עברית
Prepositions 1,ממנה
Prepositions 1,נגדי
Letters 2,הילד
Letters 2,אוכלת
Prepositions 1,בתוכנו
Letters 1,מים
Prepositions 1,בתוכי
Prepositions 1,לידה
Prepositions 1,נגדה
Prepositions 1,בשבילי
Prepositions 1,נגדו
Prepositions 1,בשבילנו
Prepositions 1,בנו
Prepositions 1,לידנו
Prepositions 1,בשבילו
Prepositions 1,בו
Letters 2,המלך
Letters 2,הילדה
Prepositions 1,לידי
Prepositions 1,בשבילה
Prepositions 1,לידו
Prepositions 1,בתוכו
Prepositions 1,בתוכה
Direct Object,אותנו
Letters 1,החלב
Direct Object,אותו
Direct Object,אותם
Letters 1,האמא
Letters 2,האישה
Letters 1,ואבא
Letters 2,כן
Letters 3,חמוץ
Letters 3,מיץ
There is/To Have,לכם
Letters 3,כיף
Letters 1,לחם
Letters 2,אגוז
Letters 1,היונה
Letters 1,יונה
Letters 1,וחלב
Letters 1,ואמא
Letters 1,האבא
Letters 1,ולחם
Numbers 1,אחת
Questions,כמה
Medical,כפות רגליים
Questions,מה
Letters 3,הספר
Food 1,ארוחת ערב
Possessives 1,שלנו
Letters 1,יין
Determiners,אלה
Infinitives 1,לעזור
Infinitives 1,לישון
Imperative 1,תני
Questions,איזה
Conjunctions,עדיין
Possessives 1,שלךְ
Conjunctions,כי
Conjunctions,אבל
Letters 1,ואני
Verbs: Future Active 1,עתיד
Questions,לאן
Common Phrases,סליחה
Direct Object,אותךְ
Common Phrases,בסדר
Direct Object,אותה
Prepositions 1,איתו
Past Nif'al,נראָה
Comparison,ביותר
Infinitives 1,לדבר
Questions,מתי
Politics,הבחירות
Letters 1,אהבה
Possessives 1,שלכם
Numbers 1,אחד
Conjunctions,אם
There is/To Have,לךְ
Future 2,תדע
Determiners,האלה
Infinitives 1,לקנות
Questions,בשביל מה
Letters 2,משאית
Letters 3,עוגה
Letters 3,תפוח
Common Phrases,מזל טוב
Letters 3,תפוז
Letters 3,ספר
Infinitives 1,לעבוד
Future Nif'al,שאהנה
Infinitives 1,להיות
Letters 2,גבר
Medical,הגב
Medical,המוחות
Letters 3,מתוק
Comparison,יותר
Comparison,פחות
Comparison,הכי
Prepositions 1,ממני
Abstract Objects 1,המבנה
Abstract Objects 1,תורנו
Determiners,האלו
"Passive: Pa'ul, Pu'al and Huf'al",אהובה
Infinitives 1,לגור
Infinitives 1,ללכת
Verbs: Past Active 1,עזבנו
Infinitives 1,לשחק
Questions,איזו
Letters 3,התפוז
Prepositions 1,איתי
Imperative 1,בוא
Imperative 1,עשי
Imperative 1,עזרי
Infinitives 1,לבוא
Infinitives 1,להגיד
Verbs: Past Active 1,ראיתָ
Verbs: Past Active 1,רצתה
Verbs: Past Active 1,חזרה
Verbs: Past Active 1,שתה
Infinitives 1,לשמוע
Letters 3,קוראת
Prepositions 1,ממנו
Infinitives 1,לבקר
Verbs: Future Active 1,יבוא
Verbs: Future Active 1,נתעלם
Verbs: Future Active 1,אתקלח
Business,כסף
Prepositions 1,בה
Prepositions 1,מאיתנו
Infinitives 1,לראות
Letters 2,אישה
Letters 2,אורז
Letters 3,התפוח
Dates and Time,משלשום
Infinitives 1,לקחת
Construct State 2,פניית הפרסה
Letters 2,שותָה
Letters 1,חם
Prepositions 1,איתנו
Places,הביתה
Infinitives 1,לשחות
Infinitives 1,לכתוב
Infinitives 1,לבשל
Objects,בטלוויזיה
Infinitives 1,למצוא
Negative Imperatives,אַל תחכה
Negative Imperatives,אַל תתחילו
Negative Imperatives,אַל תסבירו
Direct Object,אותן
Possessives 1,שלהן
Basics,רואים
Technology and Communication,המייל
Verbs: Future Active 1,תהיה לי
Infinitives 1,לגעת
Negative Imperatives,אַל תנסי
Negative Imperatives,אַל
Formal,אינךְ
Formal,איננו
