Skill,Word
Letters 1,באה
Letters 1,אבא
Letters 1,האבא
Letters 1,אהבה
Letters 1,בא
Letters 1,אמא
Letters 1,האמא
Letters 1,האם
Letters 1,או
Letters 1,הוא
Letters 1,אוהב
Letters 1,ואבא
Letters 1,ואמא
Letters 1,אוהבת
Letters 1,אתה
Letters 1,את
Letters 1,מים
Letters 1,היא
Letters 1,אני
Letters 1,יין
Letters 1,היונה
Letters 1,יונה
Letters 1,ואני
Letters 1,וחלב
Letters 1,חלב
Letters 1,לחם
Letters 1,ולחם
Letters 1,החלב
Letters 1,חם
Letters 1,לא
Letters 2,הכלב
Letters 2,כלב
Letters 2,הולך
Letters 2,הולכת
Letters 2,אוכל
Letters 2,המלך
Letters 2,האוכל
Letters 2,אוכלת
Letters 2,כן
Letters 2,דרך
Letters 2,רואָה
Letters 2,רואֶה
Letters 2,הילדה
Letters 2,הילד
Letters 2,ילדה
Letters 2,ילד
Letters 2,האישה
Letters 2,אישה
Letters 2,שותָה
Letters 2,שותֶה
Letters 2,משאית
Letters 2,שמח
Letters 2,אגוז
Letters 2,אורז
Letters 2,זאת
Letters 2,זה
Letters 2,הגבר
Letters 2,גבר
Letters 3,יפֶה
Letters 3,התפוז
Letters 3,כיף
Letters 3,תפוח
Letters 3,התפוח
Letters 3,תפוז
Letters 3,קוראת
Letters 3,קורא
Letters 3,מתוק
Letters 3,הספר
Letters 3,ספר
Letters 3,אפרסק
Letters 3,עצוב
Letters 3,רע
Letters 3,עיתון
Letters 3,עוף
Letters 3,עוגה
Letters 3,רוצֶה
Letters 3,מיץ
Letters 3,רוצָה
Letters 3,חמוץ
Letters 3,טוב
Letters 3,טעים
Common Phrases,שלום
Common Phrases,תודה
Common Phrases,להתראות
Common Phrases,מה נשמע
Common Phrases,מה קורה
Common Phrases,מה שלומךְ
Common Phrases,מה שלומךָ
Common Phrases,בסדר
Common Phrases,סליחה
Common Phrases,בבקשה
Common Phrases,אין בעד מה
Common Phrases,לילה
Common Phrases,בוקר
Common Phrases,ערב
Common Phrases,אולי
Common Phrases,עברית
Common Phrases,אנגלית
Common Phrases,לדבר
Common Phrases,יוסי
Common Phrases,ברוך הבא
Common Phrases,טל
Common Phrases,קוראים(לי)
Common Phrases,בהצלחה
Common Phrases,מזל טוב
Common Phrases,תודה רבה
Common Phrases,תהנו
Common Phrases,בתיאבון
Basics,וגברים
Basics,נשים
Basics,אנחנו
Basics,ילדים
Basics,רואים
Basics,רואות
Basics,הם
Basics,הן
Basics,אתן
Basics,אתם
There is/To Have,יש
There is/To Have,אין
There is/To Have,לי
There is/To Have,לךָ
There is/To Have,לךְ
There is/To Have,לו
There is/To Have,לה
There is/To Have,לזה
There is/To Have,לנו
There is/To Have,לכם
There is/To Have,לכן
There is/To Have,להם
There is/To Have,להן
There is/To Have,ל...
Introduction to adjectives,שמח
Introduction to adjectives,שמחה
Introduction to adjectives,שמחים
Introduction to adjectives,שמחות
Introduction to adjectives,עצוב
Introduction to adjectives,עצובה
Introduction to adjectives,עצובים
Introduction to adjectives,עצובות
Introduction to adjectives,יפֶה
Introduction to adjectives,יפָה
Introduction to adjectives,יפים
Introduction to adjectives,יפות
Introduction to adjectives,טעים
Introduction to adjectives,טעימה
Introduction to adjectives,טעימים
Introduction to adjectives,וטעימות
Introduction to adjectives,טוב
Introduction to adjectives,טובה
Introduction to adjectives,טובים
Introduction to adjectives,טובות
Introduction to adjectives,רע
Introduction to adjectives,רעה
Introduction to adjectives,רעים
Introduction to adjectives,רעות
Food 1,את
Food 1,צלחת
Food 1,דג
Food 1,אוכלים
Food 1,קפה
Food 1,ביצה
Food 1,יין(המשך)
Food 1,ארוחת צהריים
Food 1,ארוחת בוקר
Food 1,פרי
Food 1,פסטה
Food 1,מיץ(המשך)
Food 1,סוכר
Food 1,לשתות(ריבוי)
Food 1,בירה
Food 1,התות
Food 1,גבינה
Food 1,בשר
Food 1,עגבניה
Food 1,מרק
Food 1,רוצות
Food 1,אוכל
Food 1,שמן
Food 1,לימון
Food 1,בננה
Food 1,ארוחת ערב
Food 1,כריך
Food 1,מלח
Food 1,רעבה
Food 1,הבקר
Food 1,בקבוק
Food 1,סלט
Food 1,חמאה
Food 1,הפטרייה
Food 1,הפיצה
Food 1,אננס
Food 1,שוקולד
Food 1,הזיתים
Animals,חתול
Animals,סוס
Animals,ציפור
Animals,הפילה
Animals,ברווז
Animals,צב
Animals,החמור
Animals,סרטן
Animals,עכביש
Animals,חיה
Animals,הדובה
Animals,עכבר
Animals,גמל
Animals,אריה
Animals,נשר
Animals,חיות
Animals,זבוב
Animals,חרק
Animals,ארנב
Animals,לנבוח
Animals,נחש
Animals,קוף
Animals,זנב
Animals,דבורה
Animals,חיית מחמד
Animals,הינשוף
Animals,פרה
Animals,תרנגול
Animals,חזיר
Plurals,התפוחים
Plurals,תפוזים
Plurals,כלבים
Plurals,חתולים
Plurals,סוסים
Plurals,עיתונים
Plurals,הספרים
Plurals,צבים
Plurals,הפילים
Plurals,ציפורים
Plurals,הכריכים
Plurals,הברווזים
Plurals,ודרכים
Plurals,אוהב (רבים)
Plurals,צלחות
Plurals,חיות מחמד
Plurals,יינות
Plurals,הגבינות
Plurals,בירות
Plurals,עוגות
Plurals,יפות
Plurals,וכלבות
Plurals,הסוסות
Plurals,חתולות
Plurals,הברווזות
Plurals,הפרות
Plurals,הילדות
Plurals,האריות
Possessives 1,שלי
Possessives 1,שלךָ
Possessives 1,שלךְ
Possessives 1,שלו
Possessives 1,שלה
Possessives 1,שלנו
Possessives 1,שלכם
Possessives 1,שלכן
Possessives 1,שלהם
Possessives 1,שלהן
Possessives 1,של
Possessives 1,שרה
Possessives 1,אברהם
Possessives 1,שייך
Adjectives 1 - Basics,קטן
Adjectives 1 - Basics,גדול
Adjectives 1 - Basics,חדש
Adjectives 1 - Basics,ישן
Adjectives 1 - Basics,חמים
Adjectives 1 - Basics,קר
Adjectives 1 - Basics,הגבוה
Adjectives 1 - Basics,הנמוכים
Adjectives 1 - Basics,קרוב
Adjectives 1 - Basics,רחוק
Adjectives 1 - Basics,ארוך
Adjectives 1 - Basics,קצרה
Adjectives 1 - Basics,איטי
Adjectives 1 - Basics,מהיר
Adjectives 1 - Basics,מלא
Adjectives 1 - Basics,ריקה
Adjectives 1 - Basics,יבש
Adjectives 1 - Basics,רטובים
Direct Object,אותי
Direct Object,אותךָ
Direct Object,אותךְ
Direct Object,אותו
Direct Object,אותה
Direct Object,צריך
Direct Object,אותנו
Direct Object,אתכם
Direct Object,אתכן
Direct Object,אותם
Direct Object,אותן
Direct Object,רואות
Food 2,ארוחה
Food 2,צמחוני
Food 2,תה
Food 2,מזלג
Food 2,סכין
Food 2,כוס
Food 2,מפית
Food 2,כף
Food 2,הקערה
Food 2,לבשל
Food 2,צמאים
Food 2,הכפית
Food 2,תפריט
Food 2,רוטב
Food 2,ירק
Food 2,המסעדה
Food 2,פלפל
Food 2,מתכונים
Food 2,הדבש
Food 2,מלוח
Food 2,חריף
Food 2,מר
Food 2,במטבח
Food 2,מלפפון
Food 2,אופים
Food 2,גזר
Food 2,הממתקים
Food 2,עוגייה
Food 2,האבטיח
Food 2,בוטן
Food 2,בצל
Food 2,וריבה
Food 2,ענב
Food 2,אבוקדו
Food 2,תפוח אדמה
Food 2,משקה
Food 2,דובדבנים
Food 2,מסטיק
Food 2,הגלידה
Food 2,מנגו
Food 2,השום
Food 2,ריח
Food 2,טעם
Food 2,סיר
Food 2,מצרכים
Food 2,קמח
Clothing,ללבוש
Clothing,חולצה
Clothing,נעליים
Clothing,החצאיות
Clothing,המעילים
Clothing,שמלה
Clothing,לנעול
Clothing,מכנסיים
Clothing,החליפה
Clothing,הכובע
Clothing,חגורה
Clothing,חובשת
Clothing,בגדים
Clothing,משקפיים
Clothing,משקפי שמש
Clothing,הכפפה
Clothing,טבעת
Clothing,עונדת
Clothing,שרשראות
Clothing,שם
Clothing,מרכיבים
Clothing,גרב
Clothing,לגרוב
Clothing,תכשיט
Clothing,ג'ינסים
Clothing,בגד ים
Clothing,תחפושות
Clothing,עניבה
Clothing,ז'קט
Clothing,לסוודר
Clothing,צמיד
Clothing,צעיף
Clothing,הכיסים
Verbs: Present - Pa'al,כותבים
Verbs: Present - Pa'al,שוחים
Verbs: Present - Pa'al,לשמוע
Verbs: Present - Pa'al,ישנה
Verbs: Present - Pa'al,לגעת
Verbs: Present - Pa'al,לומר
Verbs: Present - Pa'al,במים
Verbs: Present - Pa'al,לעשות
Verbs: Present - Pa'al,עובד
Verbs: Present - Pa'al,מוצאים
Verbs: Present - Pa'al,תומך
Verbs: Present - Pa'al,לוקח
Verbs: Present - Pa'al,לדעת
Verbs: Present - Pa'al,דרך (cont)
Verbs: Present - Pa'al,נותן
Verbs: Present - Pa'al,קונים
Verbs: Present - Pa'al,מוכר
Verbs: Present - Pa'al,רושם
Verbs: Present - Pa'al,סוגרים
Verbs: Present - Pa'al,לפתוח
Verbs: Present - Pa'al,וכואב
Verbs: Present - Pa'al,לחשוב
Verbs: Present - Pa'al,חוזרת
Verbs: Present - Pa'al,לקרוא
Verbs: Present - Pa'al,שומר
Verbs: Present - Pa'al,לומדים
Verbs: Present - Pa'al,ללכת(ריבוי)
Verbs: Present - Pa'al,כועסת
Verbs: Present - Pa'al,לכלול
Verbs: Present - Pa'al,זוכרים
Verbs: Present - Pa'al,רצות
Verbs: Present - Pa'al,לעבור
Verbs: Present - Pa'al,לשיר
Verbs: Present - Pa'al,לנוח
Verbs: Present - Pa'al,לעזוב
Verbs: Present - Pa'al,שוקל
Verbs: Present - Pa'al,עוזרים
Verbs: Present - Pa'al,לשנוא
Verbs: Present - Pa'al,חותם
Verbs: Present - Pa'al,רוקד
Verbs: Present - Pa'al,יוצרת
Verbs: Present - Pa'al,לעמוד
Verbs: Present - Pa'al,לחתוך
Verbs: Present - Pa'al,יושבות
Verbs: Present - Pa'al,לגדול
Verbs: Present - Pa'al,לשכוח
Verbs: Present - Pa'al,צופים
Verbs: Present - Pa'al,יוצאות
Verbs: Present - Pa'al,בוהות
Verbs: Present - Pa'al,שוכר
Verbs: Present - Pa'al,לשלוח
Verbs: Present - Pa'al,לבדוק
Verbs: Present - Pa'al,שובר
Verbs: Present - Pa'al,גונבת
Verbs: Present - Pa'al,הופכת
Verbs: Present - Pa'al,בורח
Verbs: Present - Pa'al,להכיר
Verbs: Present - Pa'al,עונות
Colors,אדומים
Colors,כתום
Colors,שחורים
Colors,לבן
Colors,כחולים
Colors,צהוב
Colors,ירוק
Colors,לצבוע
Colors,הצבע
Colors,האפור
Colors,חום
Colors,ורוד
Colors,צבעונים
Colors,סגול
Prepositions 1,ב..
Prepositions 1,בי
Prepositions 1,בנו
Prepositions 1,בךָ/בךְ
Prepositions 1,בו
Prepositions 1,בה
Prepositions 1,בכן
Prepositions 1,בהם/בהן
Prepositions 1,מן
Prepositions 1,ממני
Prepositions 1,מאיתנו
Prepositions 1,ממךָ
Prepositions 1,ממנו
Prepositions 1,ממנה
Prepositions 1,מכם
Prepositions 1,מהם/מהן
Prepositions 1,עם
Prepositions 1,איתי
Prepositions 1,איתנו
Prepositions 1,איתךָ
Prepositions 1,איתו
Prepositions 1,איתה
Prepositions 1,איתכם
Prepositions 1,איתן
Prepositions 1,בשביל
Prepositions 1,בשבילי
Prepositions 1,בשבילנו
Prepositions 1,בשבילךְ
Prepositions 1,בשבילו
Prepositions 1,בשבילה
Prepositions 1,בשבילכם/בשבילכן
Prepositions 1,בשבילם/בשבילן
Prepositions 1,ליד
Prepositions 1,לידי
Prepositions 1,לידנו
Prepositions 1,לידךָ/לידךְ
Prepositions 1,לידו
Prepositions 1,לידה
Prepositions 1,לידכם
Prepositions 1,לידם
Prepositions 1,בתוך
Prepositions 1,בתוכי
Prepositions 1,בתוכנו
Prepositions 1,בתוכךָ/בתוכךְ
Prepositions 1,בתוכו
Prepositions 1,בתוכה
Prepositions 1,בתוככם
Prepositions 1,בתוכם
Prepositions 1,נגד
Prepositions 1,נגדי
Prepositions 1,נגדנו
Prepositions 1,נגדךָ
Prepositions 1,נגדו
Prepositions 1,נגדה
Prepositions 1,נגדכם
Prepositions 1,נגדן
Numbers 1,לספור
Numbers 1,אחת
Numbers 1,שתיים
Numbers 1,שלוש
Numbers 1,אחד
Numbers 1,יותר
Numbers 1,שניים
Numbers 1,שלושה
Numbers 1,ארבעה
Numbers 1,ארבע
Numbers 1,חמישה
Numbers 1,חמש
Numbers 1,פחות
Numbers 1,מדי
Numbers 1,מספר
Numbers 1,שש
Numbers 1,שישה
Numbers 1,שבע
Numbers 1,שבעה
Numbers 1,שמונֶה
Numbers 1,שמונָה
Numbers 1,הרבה
Numbers 1,תשע
Numbers 1,תשעה
Numbers 1,עשרה
Numbers 1,עשר
Numbers 1,אחת עשרה
Numbers 1,אחד עשר
Numbers 1,שתיים עשרה
Numbers 1,שניים עשר
Numbers 1,שלוש עשרה
Numbers 1,שלושה עשר
Numbers 1,ארבע עשרה
Numbers 1,ארבעה עשר
Numbers 1,חמש עשרה
Numbers 1,חמישה עשר
Numbers 1,שש עשרה
Numbers 1,שישה עשר
Numbers 1,שבע עשרה
Numbers 1,שבעה עשר
Numbers 1,שמונה עשר
Numbers 1,שמונה עשרה
Numbers 1,תשע עשרה
Numbers 1,תשעה עשר
Numbers 1,עשרים
Numbers 1,אפס
Questions,מה
Questions,איפה
Questions,למה
Questions,כמה
Questions,מי
Questions,מאיפה
Questions,מתי
Questions,התשובה
Questions,איך
Questions,שאלה
Questions,של מי
Questions,איזה
Questions,באיזה
Questions,איזו
Questions,את מי
Questions,עם מי
Questions,לאן
Questions,למי
Questions,ממי
Questions,בשביל מה
Questions,אילו
Questions,שואלת
Questions,עונֶה
Determiners,הזה
Determiners,האלו
Determiners,כולן
Determiners,האלה
Determiners,הזאת
Determiners,אלה
Determiners,כל
Determiners,כזה
Determiners,אלו
Determiners,כולם
Determiners,שום
Determiners,שום דבר
Determiners,שום דבר מלבד
Determiners,אחר
Determiners,משהו
Determiners,כלום
Determiners,שניהם
Determiners,מישהו
Determiners,דבר
Determiners,אף אחד
Determiners,הכל
Determiners,אותו
Determiners,מספר
Determiners,שומעים
Determiners,אוכלים
Determiners,עושים
Determiners,אומרים
Determiners,ככה
Determiners,מדברים
Occupations,תלמידות
Occupations,רופא
Occupations,לעבודה
Occupations,הסופרים
Occupations,מקצוע
Occupations,דוגמנים
Occupations,במאי
Occupations,קריירה
Occupations,הצוות
Occupations,המשטרה
Occupations,אמנים
Occupations,מזכיר
Occupations,צייר
Occupations,השופט
Occupations,עורך דין
Occupations,פועל
Occupations,שוטר
Occupations,קצין
Occupations,עוצר
Occupations,עיתונאי
Occupations,החייל
Occupations,הקברניט
Occupations,הבוסית
Occupations,השומר
Occupations,שחקן
Occupations,ההתמחות
Occupations,נהג
Occupations,טבח
Occupations,מלצר
Occupations,מהנדס
Occupations,והאדריכל
Occupations,האיכרים
Occupations,חקלאי
Conjunctions,ש
Conjunctions,אם
Conjunctions,אבל
Conjunctions,כי
Conjunctions,עדיין
Conjunctions,בזמן ש
Conjunctions,מתי ש
Conjunctions,וגם
Conjunctions,אף על פי
Conjunctions,בגלל
Conjunctions,הרעים
Conjunctions,רק
Conjunctions,אז
Conjunctions,כבר
Conjunctions,לכן
Conjunctions,חוץ מ
Conjunctions,כש..
Conjunctions,אחרי ש
Conjunctions,אך
Conjunctions,לפני ש
Conjunctions,אפילו
Conjunctions,אלא
Conjunctions,מה ש
Conjunctions,לאן ש
Conjunctions,איפה ש
Conjunctions,מי ש
Prepositions 2,בחוץ
Prepositions 2,מחוץ ל..
Prepositions 2,נמצא
Prepositions 2,בפנים
Prepositions 2,מול
Prepositions 2,אצל
Prepositions 2,מולנו
Prepositions 2,אצל-
