title,word,meaning
Letters 1,באה,"comes (f,s)"
Letters 1,אבא,dad
Letters 1,אהבה,love
Letters 1,בא,"comes (m,s)"
Letters 1,אמא,mom
Letters 1,אוהבת,"loves (f,s)"
Letters 1,אתה,"you (m,s)"
Letters 1,את,"you (f,s)"
Letters 1,מים,water
Letters 1,היא,she
Letters 1,אני,I
Letters 1,יין,wine
Letters 1,יונה,pigeon
Letters 1,אוהב,"loves (m,s)"
Letters 1,חלב,milk
Letters 1,לחם,bread
Letters 1,חם,"hot (m,s)"
Letters 1,לא,no
Letters 2,כלב,dog
Letters 2,הולך,"walks, goes (m,s)"
Letters 2,הולכת,"walks, goes (f,s)"
Letters 2,אוכל,"eats (m,s)"
Letters 2,מלך,king
Letters 2,אוכלת,"eats (f,s)"
Letters 2,כן,yes
Letters 2,דרך,road
Letters 2,רואָה,"sees (f,s)"
Letters 2,רואֶה,"sees (m,s)"
Letters 2,ילדה,girl
Letters 2,ילד,boy
Letters 2,אישה,woman
Letters 2,שותָה,"drinks (f,s)"
Letters 2,שותֶה,"drinks (m,s)"
Letters 2,משאית,truck
Letters 2,שמח,happy
Letters 2,אגוז,nut
Letters 2,אורז,rice
Letters 2,זאת,this (f)
Letters 2,זה,this (m)
Letters 2,גבר,man
Letters 3,יפֶה,beautiful
Letters 3,תפוז,orange (fruit)
Letters 3,תפוח,apple
Letters 3,כיף,fun
Letters 3,קוראת,"reads (f,s)"
Letters 3,קורא,"reads (m,s)"
Letters 3,מתוק,sweet
Letters 3,יפָה,"beautiful (f,s)"
Letters 3,ספר,book
Letters 3,אפרסק,peach
Letters 3,עצוב,sad
Letters 3,רע,bad
Letters 3,עיתון,newspaper
Letters 3,עוף,chicken (food)
Letters 3,עוגה,cake
Letters 3,רוצֶה,"wants (m,s)"
Letters 3,מיץ,juice
Letters 3,רוצָה,"wants (f,s)"
Letters 3,חמוץ,sour
Letters 3,טוב,good
Letters 3,טעים,tasty
Phrases,שלום,hello
Phrases,תודה,thanks
Phrases,להתראות,goodbye
Phrases,מה נשמע?,how are you?
Phrases,מה קורה?,what's happening?
Phrases,מה שלומךָ?,how are you? (m)
Phrases,מה שלומךְ?,how are you? (f)
Phrases,בסדר,fine
Phrases,סליחה,sorry
Phrases,בבקשה,please
Phrases,אין בעד מה,you are welcome
Phrases,לילה,night
Phrases,בוקר,morning
Phrases,ערב,evening
Phrases,אולי,maybe
Phrases,עברית,Hebrew
Phrases,אנגלית,English
Phrases,ברוך הבא,welcome
Phrases,קוראים לי,my name is
Phrases,בהצלחה,good luck
Phrases,מזל טוב,congratulations
Phrases,תודה רבה,thank you very much
Basics,גברים,men
Basics,נשים,women
Basics,אנחנו,we
Basics,ילדים,children
Basics,רואים,"see (m,p)"
Basics,רואות,"see (f,p)"
Basics,הם,they (m)
Basics,הן,they (f)
Basics,אתן,"you (f,p)"
Basics,אתם,"you (m,p)"
There is,יש,there is
There is,אין,there is no
There is,לי,to me
There is,לךָ,"to you (m,s)"
There is,לךְ,"to you (f,s)"
There is,לו,to him
There is,לה,to her
There is,לנו,to us
There is,לכם,"to you (m,p)"
There is,לכן,"to you (f,p)"
There is,להם,to them (m)
There is,להן,to them (f)
There is,ל...,to
Adjectives Intro.,שמח,"happy (m,s)"
Adjectives Intro.,שמחה,"happy (f,s)"
Adjectives Intro.,שמחים,"happy (m,p)"
Adjectives Intro.,שמחות,"happy (f,p)"
Adjectives Intro.,עצוב,"sad (m,s)"
Adjectives Intro.,עצובה,"sad (f,s)"
Adjectives Intro.,עצובים,"sad (m,p)"
