Word,Meaning
מבקש,"asks for, requests"
משלם,pays
מפספס,misses (not emotion)
משחק,"plays, acts"
מספר,tells
מעצב,designs
משנה,changes
מנסה,tries
מקווה,hopes
מחפש,"searches, looking for"
מֵגדל,"grows, raises"
מסמן,signals
מאחל,wishes
מערבב,"stirs, mixes"
מכבד,respects
מסדר,"arranges, organizes"
מייבש,dries
מחמם,heats up
מייבא,imports
ממלא,fills
מבזבז,wastes
מבקר,visits
מקבל,receives
מרחם,pities
מקנא,is jealous of...
מטפס,climbs
מנצח,wins
מאמן,trains (someone)
משקר,lies
מאחר,is running late
מחכה,waits
מספק,satisfies
מסיים,finishes
משכנע,convinces
מאבד,loses
מצלם,"photographs, shoots"
מאמץ,adopts
מפחד,is scared of...
מאשר,"approves, confirms"
מגלה,discovers
מגלח,shaves
מחדש,renews
מברך,"blesses, congratulates"
מתאר,describes
מתקן,"fixes, repairs"
