Word,Meaning
יום,day
היום,today
יום ראשון,Sunday
יום שני,Monday
יום שלישי,Tuesday
יום רביעי,Wednesday
יום חמישי,Thursday
יום שישי,Friday
שבת,"Saturday, Shabbat"
זמן,time
מחר,tomorrow
אחר הצהריים,afternoon
שעה,hour
דקה,minute
שניה,second (time unit)
שבוע,week
חודש,month
אתמול,yesterday
לוח שנה,calendar
תאריך,date
ינואר,January
פברואר,February
מרץ,March
אפריל,April
מאי,May
יוני,June
יולי,July
אוגוסט,August
ספטמבר,September
אוקטובר,October
נובמבר,November
דצמבר,December
אביב,spring
חורף,winter
סתיו,"autumn, fall"
קיץ,summer
עונה,season
חצות,midnight
יום הולדת,birthday
תקופה,period (time)
רגע,moment
אף פעם,never
קצת,a bit
עשור,decade
עידן,era
תמיד,always
גיל,age
דור,generation
עכשיו,now
מחרתיים,in two days
כיום,nowadays
שנתיים,two years
חודשיים,two months
שבועיים,two weeks
יומיים,two days
שעתיים,two hours
שלשום,the day before yesterday
הווה,present
שנה,year
הבאה,next
מאה,century
עד,till
מסיבה,party
מהלך,"process, development"
