Word,Meaning
שם,there (location)
פה,here (location)
מאוד,very
עוד,more
כמו,"like, as"
פעם,"once, one time"
כאן,here (location)
די,enough
לעיתים קרובות,"often, frequently"
לעיתים רחוקות,"rarely, infrequently"
בכל זאת,anyway
באמת,"really, truly"
שוב,again
לפעמים,sometimes
לפחות,at least
כמו תמיד,as always
אחרת,"differently, otherwise"
בכל אופן,anyway
לבד,alone
בעיקר,"mostly, mainly"
אחר כך,"later, afterwards"
בדרך כלל,"usually, normally"
מספיק,enough
בקרוב,soon
בינתיים,in the meanwhile
כמעט,"almost, nearly"
מאוחר,late
מוקדם,early
במיוחד,especially
סוף סוף,finally
לא בהכרח,not necessarily
בערך,"approximately, sort of, roughly"
בדיוק,exactly
בקלות,easily
לגמרי,"completely, entirely"
בקושי,"hardly, barely"
לאו דווקא,not necessarily
באופן כללי,"in general, generally"
סביר להניח,"probably, safe to assume"
בכל מקום,everywhere
מיד,immediately
ביחד,together
כל כך,so (much/many)
בהחלט,"definitely, certainly"
לאחרונה,"lately, recently"
ממש,"really, very"
הרחק,far away
כרגע,just now
משך,duration
ברור,clearly
לאט,slowly
מהר,quickly
אופן,"method, mode"
