Word,Meaning
לכתוב,to write 
ללכת,"to walk, go "
לשחות,to swim 
להיות,to be 
לראות,to see 
לבשל,"to cook, boil "
לישון,to sleep 
לרוץ,to run 
לשלם,to pay 
לתת,"to give, allow "
לעשות,"to do, make, create "
לדבר,"to talk, speak "
להגיד,"to tell, say "
לשחק,to play 
לשתות,to drink 
לסגור,"to close, shut, turn off "
לפתוח,"to open, unlock, turn on "
לשמוע,"to hear, listen "
לגעת )ב-(,to touch 
לומר,"to say, tell "
לשים,"to put, put on "
לקבל,"to get, receive; accept "
למצוא,"to find, encounter "
לעזור,"to help, assist, aid "
לבוא,to come 
לקנות,"to buy, purchase "
לבקר,to visit 
לעבוד,"to work, operate, function "
לקחת,to take 
לדעת,to know 
לחזור,to return 
לגור,"to live, reside "
לחתוך,"to cut, slash "
לסבול,"to suffer, tolerate "
לספור,"to count, enumerate "
למנוע,to prevent 
לצייר,"to paint, draw, depict "
להכיל,"to contain, include, comprise "
לברוח,"to run away, escape "
