Word,Meaning
ראשון,first
שני,second (ordinal)
שלישי,third
רביעי,fourth
חמישי,fifth
שישי,sixth
שביעי,seventh
שמיני,eighth
תשיעי,ninth
עשירי,tenth
שלושים,thirty
ארבעים,forty
חמישים,fifty
שישים,sixty
שבעים,seventy
שמונים,eighty
תשעים,ninety
מאה,hundred
מאתיים,two hundred
אלף,thousand
אלפיים,two thousand
מיליון,million
מיליארד,billion
ממוצע,average
אחוז,"percent, percentage"
חצי,half
רוב,"majority, most"
כמות,quantity
סך הכל,"total, overall"
לשנות,to change
ועוד,plus
כפול,x times
חלקי,divided
האחרון,the last
מינוס,minus
שוה,equals
פחות,less
