Word,Meaning
מורָה,teacher (f)
מורֶה,teacher (m)
פתק,note
עט,pen
קורס,course (education)
חינוך,education
שיעור,lesson
ספרייה,library
מבחן,"test, exam"
לימוד,study
דוגמה,example
עיפרון,pencil
שיעורי בית,homework
כיתה,"classroom, class"
מילה,word
ידע,knowledge
פרק,"chapter, episode"
מצגת,presentation
רעיון,idea
אוניברסיטה,university
הרצאה,lecture
פרופסור,professor
תואר,degree
סטודנט,student
מרצה,lecturer
דוקטורט,"doctorate, PhD"
הכנה,preparation
מטרה,"target, objective"
משמעות,meaning
ללמד,to teach
לתרגל,to practice
היסטוריה,history
ציור,"painting, drawing"
מסמך,document
עמוד,page
הסבר,explanation
תוכנית,"plan, program"
קושי,difficulty
מכון,institute
