Word,Meaning
לטייל,to travel
מכונית,car
אופניים,"bike, bicycle"
מזוודה,suitcase
אוטובוס,bus
אופנוע,"motorbike, bike"
לרכב,to ride (a bike)
חופשה,vacation
רכבת,train
סירה,boat
מטוס,plane
לנהוג,to drive
רציף,"pier, dock, platform"
לשוט,to sail
לטוס,to fly (in a plane)
תחנת רכבת,train station
תחנת אוטובוס,bus station
מפה,map
תיק גב,backpack
ספינה,ship
קו,line
מדריך,guide
לנסוע,"to drive, to travel, to go"
להפליג,to sail
טיול,trip
ארצות הברית,the United States
ביקור,visit
הרפתקה,adventure
טיסה,flight
תחבורה,transportation
רכב,vehicle
רכבת תחתית,subway
מסע,"voyage, journey"
המזרח התיכון,the Middle East
הים התיכון,the Mediterranean
ארץ,"land, country"
צרפת,France
ספרד,Spain
אנגליה,England
יוון,Greece
גרמניה,Germany
מצרים,Egypt
רוסיה,Russia
סין,China
עולם,world
יבשת,continent
אירופה,Europe
אמריקה,America
אפריקה,Africa
אוסטרליה,Australia
אסיה,Asia
דרכון,passport
דלק,"fuel, petrol"
תייר,tourist
חוץ לארץ,"overseas, abroad"
בין-לאומי,international
אירופאי,European
מסביב,all around
