Word,Meaning
הייתי,I was
הייתְ,you were
הייתָ,you were
הייתן,you were
הייתם,you were
היינו,we were
הייתה,she was
היה,he was
מצא,found
שתה,drank
חזר,returned
אהב,loved
הלך,walked
רצה,wanted
ראה,saw
אמר,said
חשב,thought
אכל,ate
עשה,did
שמע,heard
עזב,left
נפל,fell
עבד,worked
רץ,ran
בא,came
שם,put (past)
שבר,broke
שר,sang
קרא,read (past)
לקח,took
נתן,gave
ידע,knew
כתב,wrote
קפץ,jumped
גנב,stole
ניסה,tried
דיבר,spoke
בישל,cooked
איבד,lost
שיחק,played
סיפר,told
ביקש,"asked (for something), requested"
סיים,finished
שילם,paid
שיקר,lied
חיכה,waited
ניצח,won
בזבז,spent
קינא,was jealous
הכיר,knew (someone)
הקשיב,listened
הראה,showed
הגיע,arrived
החליט,decided
התחיל,started
קנה,bought
הרגיש,felt
הסביר,explained
הציע,"proposed, offered"
האמין,believed
הזמין,"invited, ordered"
הבין,understood
