Word,Meaning
מתקלח,showers (oneself)
מתגלח,shaves (oneself)
מסתפר,takes a haircut
מסתכל,looks
משתמש,uses
מתקשר,calls (telephone)
מתחזק,gets stronger/more religious
מתאמן,"practices, trains"
מתקרב,comes closer
מתחנך,educates (oneself)
מתחנן,begs
מתגבר,overcomes
מסתיים,finishes (passive)
מתגעגע,misses (feeling)
מסתובב,turns around
מתקרר,cools off (passive)
מתחמם,heats up (passive)
מזדקן,gets old
מתאושש,recovers
מתחבא,hides
משתכר,gets drunk
משתנה,changes (oneself)
מתאחד,unites (with someone else)
מתחבר,connects (oneself)
מתנתק,disconnects (oneself)
מתייעץ,consults (with someone)
מתכונן,gets (oneself) ready
מצטרף,joins
מתמודד,deals with
מתעלם,ignores
מתפלל,prays
מתנצל,apologizes
מתבלבל,gets confused
מתעמל,works out
