Word,Meaning
חלק,part
השקפה,"perspective, point of view"
שירות,service
רשימה,list
פקודה,"command, order"
מערכת,system
קבוצה,group
סוג,type
עיצוב,design
מקרה,"occurance, incident"
שינוי,change
גירסה,version
שליטה,control
שיחה,conversation
חשבון,"account, tab, check"
פרופיל,profile
רמה,level
רעש,noise
תיאור,description
תמונה,"picture, image"
תוכן,information
ערך,value
קטגורייה,category
ציוד,equipment
בעיה,problem
צד,side
ביצועים,performances
אפשרות,possibility
פעילות,"activity, action"
תוצאה,result
הסכם,agreement (abs.)
פיתרון,answer
ייצור,manufacturing
הגנה,defense
מבנה,"structure, formation"
תגובה,response
תור,queue
כניסה,entrance
השפעה,influence
משאלה,wish
תקווה,hope
הזדמנות,opportunity
מצב,situation
יציאה,exit
ברירה,"option, choice"
עניין,"matter, interest"
קול,voice
תפקיד,role
הצלחה,success
כישלון,failure
משבר,crisis
פרס,reward
הקדמה,"intro, preface"
כוונה,intention
ציון,grade
מנוחה,rest
נושא,subject
חושך,darkness
חלופה,alternative
שיא,"peak, record"
קצה,edge
החלטה,decision
סוף,end
התחלה,beginning
