Word,Meaning
לך,walk! / go!
רוץ,run!
עזור,help!
בוא,come!
שמור,save! / keep!
תן,give!
עשֵה,do!
עצור,stop!
קח,take!
דע,know!
קנֵה,buy!
פְתח,open!
שים,put!
טוס,fly!
שב,sit!
שְכח,forget!
צפה,watch! / expect!
שלח,send!
שתה,drink!
צא,go out!
דבר,talk! / speak!
נסה,try!
חפש,search! / look for!
סמן,mark! / indicate!
תקן,fix! / repair!
קבל,accept!
רחם,have mercy!
ערבב,mix! / stir!
חכה,wait!
סָיים,finish!
צלם,take a picture!
ברך,bless!
למד,learn! / study!
הקשב,listen!
הראה,show!
הרגש,feel!
האמן,believe!
התחל,start!
החזר,return! (something)
הוסף,add!
הזמן,invite!
הצג,present!
החלט,decide!
החלף,change!
הזכר,remind!
התקלח,take a shower!
הסתכל,look!
התקרב,come closer!
התחבא,hide!
התחבר,connect!
הצטרף,join!
התעלם,ignore!
התפלל,pray!
התכונן,get prepared!
הסתפר,cut your hair!
השתמש,use!
