Word,Meaning
שפה,language
ספרדית,Spanish (lang.)
צרפתית,French (lang.)
גרמנית,German (lang.)
רוסית,Russian (lang.)
סינית,Chinese (lang.)
הולנדית,Dutch (lang.)
איטלקית,Italian (lang.)
פורטוגזית,Portuguese (lang.)
שוודית,Swedish (lang.)
דנית,Danish (lang.)
ערבית,Arabic (lang.)
יפנית,Japanese (lang.)
צ'כית,Czech (lang.)
יוונית,Greek (lang.)
הונגרית,Hungarian (lang.)
אירית,Irish (lang.)
פולנית,Polish (lang.)
הינדי,Hindi
יידיש,Yiddish
אספרנטו,Esperanto
מילון,dictionary
משפט,sentence
אות,letter
בלשן,linguist
בלשנות,Linguistics
שם עצם,noun
פועל,verb
שם תואר,adjective
פסקה,paragraph
שורה,line
פסיק,comma
נקודה,"period, dot"
שפת אם,mother tongue
