Word,Meaning
רצוי,"wanted, desirable"
שבור,broken
אהוב,loved
כתוב,written
אכול,eaten
עשוי,made
קשור,"tied, related, connected"
נגוע,infected (passive)
ידוע,known (passive)
קנוי,bought (passive)
שמור,saved (passive)
חתוך,cut (passive)
צפוי,"anticipated, expected (pass.)"
זכור,recalled (passive)
מבושל,cooked (passive)
מנוסה,experienced (passive)
מדובר,discussed (passive)
מעורבב,mixed (pass.)
מבוזבז,wasted (passive)
משונה,"strange, peculiar (passive)"
ממולא,"filled, stuffed (passive)"
משוכנע,convinced (passive)
מסודר,organized (passive)
משותף,"joined, communal (passive)"
מסוים,"particular, specific (passive)"
מקובל,accepted (passive)
מורכב,composed (passive)
מוזמן,invited (passive)
מוצלח,successful (passive)
מוחלף,replaced (passive)
מובן,understandable (passive)
מוחלט,"definitive, total (passive)"
מוסבר,explained (passive)
מוגבל,restricted (passive)
מושפע,influenced (passive)
מודאג,worried (passive)
מותאם,"compatible, adjusted (passive)"
מופרע,disturbed
