Word,Meaning
שמיים,sky
פרח,flower
עץ,tree
יער,forest
ים,sea
דשא,grass
שיח,"bush, shrub"
אש,fire
אויר,air
שדה,field
חול,sand
אבן,stone
כוכב,star
ירח,moon
טבע,nature
אדמה,"ground, earth"
נהר,river
כוכב לכת,planet
כדור הארץ,Earth
חלל,space
ורד,rose
עלה,leaf
נוף,"view, scenery, landscape"
אקלים,climate
חוֹם,heat
הר,mountain
יקום,universe
קרקע,"ground, earth"
גז,gas
עשן,smoke
חומר,"substance, material"
מדבר,desert
צמח,plant
יבול,crop
אבק,dust
הר געש,volcano
קרח,ice
קרחון,"iceberg, glacier"
צוק,cliff
גבעה,hill
מערה,cave
שקיעה,sunset
