Word,Meaning
משועמם,bored
מדוכא,depressed
מאושר,happy
נשיקה,kiss
מאוהב,in love
מופתע,surprised
דוחה,repulsive
אופטימי,optimistic
פסימי,pessimistic
מביך,embarrassing
רגש,emotion
רגוע,calm
הלם,shock
להצטער,to be sorry
להיעלב,to be offended
לנשק,to kiss
לחבק,to hug
לנחם,to comfort
מבולבל,confused
חסר-אונים,helpless
עוין,hostile
שובב,"naughty, cheeky"
פגוע,offended
דחוי,rejected
ביישן,shy
רגיש,"sensitive, emotional"
בודד,lonely
לבכות,to cry
להתלהב,to be enthusiastic
להעריץ,to adore
דמעה,tear
אושר,happiness
לצפות,to expect
