Word,Meaning
משולש,triangle
ריבוע,square
עיגול,circle
מלבן,rectangle
קו,line
צורה,shape
מרובע,quadrilateral
מקבילה,parallel
קודקוד,vertex
טרפז,trapeze
אליפסה,ellipse
מעין,rhombus
זויות,angle
מחומש,pentagon
משושה,hexagonal
צלע,"side, edge"
גיאומטריה,geometry
מקבילית,parallelogram
טריגונומטריה,trigonometry
אורך,length
רוחב,width
גובה,height
עֹמק,depth
משטח,surface
נפח,volume
מטר,meter
בקילומטרים,in kilometers
סנטימטר,centimeter
מילימטר,milimeter
יחידת מידה,unit of measure
למדוד,measure
סרגל,ruler
