Word,Meaning
ראש-ממשלה,prime minister
חגורת-בטיחות,"safety belt, seat belt"
תולעת-ספרים,book worm
הפסקת-אוכל,"lunch break, ""food"" break"
כלי-נשק,weapon
שטיפת-מוח,brainwash
שומר-ראש,bodyguard
פסק-זמן,timeout
נהג-מונית,taxi driver
מגדל-שמירה,watch tower
שעון-עצר,stopwatch
פניית-פרסה,U-turn
בית-מלאכה,workshop
אוצר-מילים,vocabulary
מברשת-שיניים,toothbrush
ארגז-כלים,toolbox
משחת-שיניים,toothpaste
סכין-גילוח,(shaving) razor
תיבת-דואר,mailbox
עוגת יום-הולדת,birthday cake
משרד ראש-הממשלה,the PM's office
חלון חדר-האורחים,the window of the guest room
