Word,Meaning
יד,hand
עין,eye
זרוע,arm
אצבע,finger
ראש,head
אוזן,ear
לב,heart
חזה,"chest, breast"
כף-יד,palm (and back of hand)
בטן,abdomen
צוואר,neck
שיער,hair
מרפק,elbow
פנים,face
עור,skin
גב,back (body part)
לשון,tongue
גוף,body
מוח,brain
פה,mouth
שן,tooth
רגל,leg
עצם,bone
אף,nose
כף-רגל,foot
ברך,knee
כתף,shoulder
שריר,muscle
מטופל,patient
מחלה,disease
חולה,sick
וירוס,virus
גולגולת,skull
איבר,organ
תרופה,medicine
חלום,dream
אחות,nurse
כאב,pain
טיפול,treatment
דם,blood
שפה,"lip, language"
מרפאה,clinic
לחץ,pressure
רפואה,medicine (field)
הריון,pregnancy
סם,drug
בריאות,health
דיאטה,diet
לידה,birth
סרטן,cancer
ניתוח,"surgery, operation"
