Word,Meaning
דתי,religious
דת,religion
אלוהים,God
אמונה,"faith, belief"
רוחני,spiritual
יהודי,"Jewish (adj), Jew (noun)"
חילוני,secular
נוצרי,Christian
מוסלמי,Muslim
בודהיסטי,Buddhist
מלאך,angel
אל,God
תפילה,prayer
קדוש,holy
אסלאם,Islam
נצרות,Christianity
מקדש,temple
נשמה,soul
יהדות,Judaism
משיח,"Messiah, Mashiach"
כיפת הסלע,Dome of the Rock
הר הבית,Temple Mount
מסגד אל-אקצא,Al-Aqsa Mosque
כנסיית הקבר,The Church of the Holy Sepulchre/the Resurrection
הר ציון,Mount Zion
מערת המכפלה,Cave of the Patriarchs/of Machpelah
הר הזיתים,Mount Olives
הכותל המערבי,"the Western Wall, the Kotel"
