Word,Meaning
אומַר,I will say
יעבדו,they will work
תמצא,you'll find
ימכור,will sell
יחזרו,will return
יֵדע,will know
ילמדו,they will learn
תשכח,you will forget
יקרא,will read
יקח,will take
אעצור,I'll stop
ישימו,they will put
ירצה,will want
יציע,will suggest
אערבב,I'll mix
תרגיש,you will feel
ימשיך,will continue
נחליף,we will replace
יתפלל,will pray
יוכל,will be able to
ימלא,will fill
ילמֵד,will learn
תחכה,will wait
ננצח,we will win
יבקשו,the will ask
אקווה,I will hope
יעזור,will held
יגעו,they will touch
תסגור,will close
אפתח,will open
יספרו,they will tell
ישאל,will ask
אשבור,I will break
יצליחו,will succeed
