Word,Meaning
אל,don't
אל תהיה,don't be
אל תיגע,don't touch
אל תאמר,don't tell
אל תעשה,don't do
אל תיקח,don't take
אל תיתן,don't let
אל תסגור,don't close
אל תפתח,don't open
אל תלך,don't go
אל תעמוד,don't stand
אל תשכח,don't forget
אל תשלח,don't send
אל תספר,"don't tell, count"
אל תנסה,don't try
אל תשנה,don't change
אל תדבר,don't speak
אל תשאל,don't ask
אל תערבב,don't mix
אל תחכה,don't wait
אל תקשיב,don't listen
אל תרגיש,don't feel
אל תתחיל,don't start
אל תגיע,don't come
אל תסביר,don't explain
אל תחליט,don't decide
אל תשתה,don't drink
אל תאכל,don't eat
אל תתעלם,don't ignore
אל תשתמש,don't use
