Word,Meaning
ביטחון,security
ממשלה,government
מס,tax
מלחמה,war
נשיא,president
חוק,law
זכות,(legal) right
בטיחות,safety
המלצה,recommendation
שלום,peace
כלכלה,economy
עירייה,municipality
מדיניות,policy
צבא,army
פשע,crime
מנהיג,leader
בחירות,elections
אסטרטגיה,strategy
חופש,"freedom, liberty"
מעצר,arrest (noun)
קמפיין,campaign
קונגרס,congress
נאום,speech (formal)
אלימות,violence
שחיתות,corruption
עימות,"confrontation, debate"
מועמד,candidate
הכנסת,the Knesset
פרלמנט,parliament
שוחד,"bribe, bribery"
מושל,governor
חבר-כנסת,MK (member of Knesset)
שביתה,(workers') strike
איום,threat
ראש-עיר,mayor
עושר,wealth
אשמה,guilt
מפלגה,(political) party
שר,minister
משרד-האוצר,Ministry of Finance
משרד-הביטחון,Ministry of Defense
משרד-המשפטים,Ministry of Justice
משרד-הפנים,Ministry of Interior
משרד-החוץ,Ministry of Foreign Affairs
