Word,Meaning
כדור,ball
ספורט,sport
שחקן,player
משחק,game
תחרות,competition
קבוצה,team
מחצית,half
כדורגל,"football, soccer"
כדורסל,basketball
נקודה,point
שער,"goal, gate"
להבקיע,to score
איצטדיון,stadium
תיקו,draw
מאמן,coach
מחבט,racket
אליפות,championship
כדורעף,volleyball
אלוף,champion
מדליה,medal
שלושער,hat-trick
מרתון,marathon
בעיטה,kick
מכון כושר,gym
צעד,step
מגרש,"field, court"
פנדל,penalty kick
אוהד,fan (individual)
חלוץ,striker (football)
בלם,defender (football)
שוער,"goalkeeper, goalie"
עמדה,position
התקפה,offence
ליגה,league
שחייה,swimming
גביע,"trophy, cup"
אולימפיאדה,olympics
אתלט,athlete
כושר,fitness
טניס,tennis
הארכה,overtime
קשר,midfielder
