Word,Meaning
כסף,money
דולר,dollar
לעלות,to go up
חוב,debt
השקעה,investment
ביטוח,insurance
שקל,Shekel
כרטיס,ticket
עסקים,business
כרטיס אשראי,credit card
זהב,gold
מחיר,price
אגורה,Agora (Israeli currency equiv. to Cent)
מותג,brand
חוזה,contract
אירו,Euro
עסקה,"transaction, deal"
תקציב,budget
עודף,change (monetary)
מטבע,"currency, coin"
מזומן,cash
קידום,promotion
עלות,cost (noun)
ארגון,organization
שטר,"bill, note, deed"
ריאיון,interview
פגישה,meeting
חברה,company
משכורת,"salary, wages"
מנהל,manager
פרסום,advertisement
שווי,"value, worth"
מסחר,commerce
תעשייה,industry
מוצר,product
פרסומת,commercial
בורסה,stock market
סוכן,agent
שער,(exchange) rate
סיכון,risk
