Word,Meaning
עולה חדש,Oleh Chadash
צבר,tzabar
מטקות,matkot
קיבוץ,kibbutz
אולפן,ulpan
עלייה,aliyah
על האש,al-ha'esh
פלאפל,falafel
חומוס,hummus
פיתה,pita
יום העצמאות,Yom Ha'atzmaut (Independence Day)
מוזיקה מזרחית,Mizrachi Music
בלאגן,mess
כנרת,Kineret
מצדה,"Metzada, Massada"
אילת,Eilat
חיפה,Haifa
ים המלח,The Dead Sea
נגב,Negev
הים האדום,"The Red Sea, Yam Suf"
במבה,Bamba
ביסלי,Bissli
עגבניית שרי,cherry tomato
שקשוקה,shakshuka
קיסריה,"Kesarya, Caesarea"
טבריה,"Tverya, Tiberias"
באר שבע,"Be'er Sheva, Beer Sheba"
